variable,n,mean,sd,median,iqr25,iqr75,min,max,missing_pct,shapiro_p_(sample<=5000)
age,1300,20.923076923076923,1.9489851867388472,21.0,19.0,22.0,16.0,25.0,0.0,4.248995846555015e-20
dheas,1162,338.0128227194492,133.61367111368776,319.5,245.0,415.0,30.9,935.0,10.615384615384615,1.452564860402384e-16
fai,1159,1.1196630723919423,1.0838435189401887,0.7827102803738318,0.44889068424362744,1.4003501885630725,0.03579545454545455,10.09708737864078,10.846153846153845,1.084252275845005e-39
fsh,1172,5.979923208191127,1.9813748241882934,5.79,4.9375,6.8725000000000005,0.62,47.6,9.846153846153847,2.4697619287231456e-41
glucose_0,1160,84.35913793103448,6.058847390218386,83.9,80.3,88.0,51.9,108.0,10.76923076923077,1.1782440841404545e-08
homa_ir,967,1.9218444546580362,1.495133151312466,1.5277333333333332,1.0808864197530863,2.288037037037037,0.1488888888888889,20.905185185185186,25.615384615384617,3.830986449155914e-40
insulin,975,9.130143589743591,6.824322967367072,7.37,5.3,10.9,0.4,98.2,25.0,5.000247492471773e-40
lh,1176,8.4618962585034,5.558978512575049,7.07,4.91,10.3,0.1,60.61,9.538461538461538,8.360783061598685e-34
lh_fsh,1171,1.420998564518674,0.8469686079838171,1.201133144475921,0.8702134006881327,1.765028379772962,0.05463182897862233,6.494117647058824,9.923076923076923,2.6586399721042717e-31
log_homa_ir,967,0.46947060815574704,0.5829496498347325,0.4237851554441212,0.07778104814804042,0.8276918731741877,-1.9045549633733994,3.039997223185231,25.615384615384617,2.1278813070818123e-05
mon_abs,911,0.5587266739846323,0.14819768109967515,0.55,0.46,0.64,0.22,1.24,29.923076923076923,4.40677854332343e-13
mpr,911,0.04206693329813746,0.011252164515185471,0.0403921568627451,0.03396831156265119,0.04736912156166814,0.01587837837837838,0.09672131147540984,29.923076923076923,9.695235052849502e-21
mpv,911,10.524917672886938,0.8810859737930216,10.4,9.9,11.1,8.5,13.8,29.923076923076923,1.858385025500281e-08
nlr,911,1.2365658947864702,0.5780239697623998,1.110497237569061,0.8820683565726058,1.452271792158937,0.3690987124463519,6.311111111111111,29.923076923076923,2.3308610297195724e-33
p_lcr,911,29.139736553238205,7.2931958005708735,28.7,23.5,33.6,11.7,54.5,29.923076923076923,3.799260111640304e-07
pct,911,0.2748737650933041,0.05124130033892462,0.27,0.24,0.31,0.14,0.56,29.923076923076923,1.748417416090292e-09
pdw,912,12.313815789473685,1.9211818081908951,12.1,10.9,13.4,8.4,21.9,29.846153846153843,6.39783845777038e-16
plr,911,105.73188309686005,32.20985061950434,100.8695652173913,84.82289107289108,120.7002470431342,45.19906323185012,377.7777777777778,29.923076923076923,4.849851588730615e-25
plt,911,262.9747530186608,53.71160698142296,259.0,226.0,298.0,122.0,592.0,29.923076923076923,3.003145534626469e-09
quicki,967,0.3585965051459779,0.03255729949232192,0.3582300113119836,0.3370502410540514,0.3786107859021479,0.25460134374626775,0.5616976216435721,25.615384615384617,4.6416149966553084e-09
rdw,911,12.735675082327115,0.933403649785758,12.5,12.1,13.1,10.8,19.9,29.923076923076923,9.125778850903246e-28
rdw_sd,911,42.008891328210765,2.7599605786803854,41.6,40.2,43.5,33.9,60.5,29.923076923076923,4.09723595557587e-16
shbg,1178,52.847716468590825,30.103688463328087,48.0,30.9225,67.175,6.97,215.5,9.384615384615385,1.1297517034020781e-26
testosterone,1162,0.40564974182444063,0.19713182070107826,0.37,0.27125,0.512,0.025,1.91,10.615384615384615,5.34975887381055e-21
tyg,1153,8.118532203381326,0.4477122782859274,8.08844052067255,7.798112628829788,8.402320915385816,6.879355804460439,9.666245076842417,11.307692307692307,2.9668926820463695e-07
wbc,45,6.7588888888888885,1.9464842691635116,6.32,5.54,7.77,3.77,13.49,96.53846153846153,0.0069630094026677586
