x,y,n,rho,p,q
dheas,p_lcr,905,-0.051725142406532816,0.11995819635394459,0.5699091327175061
dheas,mpv,905,-0.050811940240816714,0.12664647393722356,0.5699091327175061
dheas,pdw,905,-0.04204713982757523,0.20632913118208013,0.58148540076959
fai,mpv,905,-0.03760417577537495,0.25843795589759555,0.58148540076959
fai,p_lcr,905,-0.02822246549077149,0.396427908255796,0.7135702348604328
testosterone,pdw,905,0.012482386570936024,0.7076560236648863,0.9633648879289896
testosterone,mpv,905,-0.00722012141817205,0.8282807317741787,0.9633648879289896
fai,pdw,905,-0.004561394338511956,0.891005122083683,0.9633648879289896
testosterone,p_lcr,905,-0.0015289252536330494,0.9633648879289896,0.9633648879289896
